category,yyyy,mm,platform_type,gmv
문화 및 레저서비스,2017,6,mobile,"57,802"
e쿠폰서비스,2017,6,mobile,"78,868"
음식서비스,2017,6,mobile,"170,090"
기타서비스,2017,6,mobile,"22,907"
기타,2017,6,mobile,"80,383"
컴퓨터 및 주변기기,2017,6,web,"262,908"
가전·전자·통신기기,2017,6,web,"366,554"
서적,2017,6,web,"78,615"
사무·문구,2017,6,web,"37,788"
의복,2017,6,web,"394,173"
신발,2017,6,web,"54,666"
가방,2017,6,web,"43,903"
패션용품 및 액세서리,2017,6,web,"61,378"
스포츠·레저용품,2017,6,web,"137,585"
화장품,2017,6,web,"274,418"
아동·유아용품,2017,6,web,"75,478"
음·식료품,2017,6,web,"243,369"
농축수산물,2017,6,web,"66,113"
생활용품,2017,6,web,"246,264"
자동차 및 자동차용품,2017,6,web,"39,538"
가구,2017,6,web,"84,221"
애완용품,2017,6,web,"22,732"
여행 및 교통서비스,2017,6,web,"605,089"
문화 및 레저서비스,2017,6,web,"86,509"
e쿠폰서비스,2017,6,web,"16,151"
음식서비스,2017,6,web,"25,541"
기타서비스,2017,6,web,"18,198"
기타,2017,6,web,"99,948"
컴퓨터 및 주변기기,2017,7,mobile,"128,025"
가전·전자·통신기기,2017,7,mobile,"494,107"
서적,2017,7,mobile,"47,351"
사무·문구,2017,7,mobile,"18,084"
의복,2017,7,mobile,"495,098"
신발,2017,7,mobile,"92,518"
가방,2017,7,mobile,"107,525"
패션용품 및 액세서리,2017,7,mobile,"106,286"
스포츠·레저용품,2017,7,mobile,"158,771"
화장품,2017,7,mobile,"360,699"
아동·유아용품,2017,7,mobile,"191,882"
음·식료품,2017,7,mobile,"404,744"
농축수산물,2017,7,mobile,"118,131"
생활용품,2017,7,mobile,"373,275"
자동차 및 자동차용품,2017,7,mobile,"52,762"
가구,2017,7,mobile,"126,482"
애완용품,2017,7,mobile,"35,931"
여행 및 교통서비스,2017,7,mobile,"736,121"
문화 및 레저서비스,2017,7,mobile,"69,376"
e쿠폰서비스,2017,7,mobile,"76,023"
음식서비스,2017,7,mobile,"197,324"
기타서비스,2017,7,mobile,"27,703"
기타,2017,7,mobile,"75,734"
컴퓨터 및 주변기기,2017,7,web,"252,949"
가전·전자·통신기기,2017,7,web,"432,760"
서적,2017,7,web,"95,733"
사무·문구,2017,7,web,"35,743"
의복,2017,7,web,"392,273"
신발,2017,7,web,"48,228"
가방,2017,7,web,"44,194"
패션용품 및 액세서리,2017,7,web,"63,749"
스포츠·레저용품,2017,7,web,"133,912"
화장품,2017,7,web,"258,757"
아동·유아용품,2017,7,web,"72,696"
음·식료품,2017,7,web,"233,432"
농축수산물,2017,7,web,"64,551"
생활용품,2017,7,web,"240,315"
자동차 및 자동차용품,2017,7,web,"41,482"
가구,2017,7,web,"85,175"
애완용품,2017,7,web,"22,569"
여행 및 교통서비스,2017,7,web,"643,280"
문화 및 레저서비스,2017,7,web,"82,271"
e쿠폰서비스,2017,7,web,"15,604"
음식서비스,2017,7,web,"27,301"
기타서비스,2017,7,web,"24,316"
기타,2017,7,web,"93,311"
컴퓨터 및 주변기기,2017,8,mobile,"135,562"
가전·전자·통신기기,2017,8,mobile,"399,471"
서적,2017,8,mobile,"49,898"
사무·문구,2017,8,mobile,"19,625"
의복,2017,8,mobile,"419,251"
신발,2017,8,mobile,"77,350"
가방,2017,8,mobile,"115,821"
패션용품 및 액세서리,2017,8,mobile,"110,615"
스포츠·레저용품,2017,8,mobile,"143,884"
화장품,2017,8,mobile,"372,187"
아동·유아용품,2017,8,mobile,"190,684"
음·식료품,2017,8,mobile,"437,977"
농축수산물,2017,8,mobile,"125,578"
생활용품,2017,8,mobile,"386,060"
자동차 및 자동차용품,2017,8,mobile,"53,285"
가구,2017,8,mobile,"136,077"
애완용품,2017,8,mobile,"37,525"
여행 및 교통서비스,2017,8,mobile,"760,584"
문화 및 레저서비스,2017,8,mobile,"83,259"
e쿠폰서비스,2017,8,mobile,"83,577"
음식서비스,2017,8,mobile,"219,093"
기타서비스,2017,8,mobile,"30,697"
기타,2017,8,mobile,"76,238"
컴퓨터 및 주변기기,2017,8,web,"280,831"
가전·전자·통신기기,2017,8,web,"359,011"
서적,2017,8,web,"100,090"
사무·문구,2017,8,web,"38,125"
의복,2017,8,web,"338,973"
신발,2017,8,web,"40,961"
가방,2017,8,web,"47,640"
패션용품 및 액세서리,2017,8,web,"67,589"
스포츠·레저용품,2017,8,web,"122,467"
화장품,2017,8,web,"280,375"
아동·유아용품,2017,8,web,"72,846"
음·식료품,2017,8,web,"254,664"
농축수산물,2017,8,web,"68,512"
생활용품,2017,8,web,"245,562"
자동차 및 자동차용품,2017,8,web,"39,414"
가구,2017,8,web,"90,905"
애완용품,2017,8,web,"23,065"
여행 및 교통서비스,2017,8,web,"645,755"
문화 및 레저서비스,2017,8,web,"101,624"
e쿠폰서비스,2017,8,web,"17,291"
음식서비스,2017,8,web,"34,667"
기타서비스,2017,8,web,"21,923"
기타,2017,8,web,"103,067"
컴퓨터 및 주변기기,2017,9,mobile,"128,865"
가전·전자·통신기기,2017,9,mobile,"363,151"
서적,2017,9,mobile,"47,891"
사무·문구,2017,9,mobile,"20,792"
의복,2017,9,mobile,"525,271"
신발,2017,9,mobile,"90,408"
가방,2017,9,mobile,"116,864"
패션용품 및 액세서리,2017,9,mobile,"107,005"
스포츠·레저용품,2017,9,mobile,"141,138"
화장품,2017,9,mobile,"385,834"
아동·유아용품,2017,9,mobile,"196,306"
음·식료품,2017,9,mobile,"511,044"
농축수산물,2017,9,mobile,"166,426"
생활용품,2017,9,mobile,"388,499"
자동차 및 자동차용품,2017,9,mobile,"50,478"
가구,2017,9,mobile,"135,835"
애완용품,2017,9,mobile,"41,752"
여행 및 교통서비스,2017,9,mobile,"684,418"
문화 및 레저서비스,2017,9,mobile,"52,535"
e쿠폰서비스,2017,9,mobile,"83,024"
음식서비스,2017,9,mobile,"209,012"
기타서비스,2017,9,mobile,"32,185"
기타,2017,9,mobile,"87,334"
컴퓨터 및 주변기기,2017,9,web,"270,647"
가전·전자·통신기기,2017,9,web,"343,507"
서적,2017,9,web,"88,774"
사무·문구,2017,9,web,"39,683"
의복,2017,9,web,"434,408"
신발,2017,9,web,"49,838"
가방,2017,9,web,"48,352"
패션용품 및 액세서리,2017,9,web,"63,340"
스포츠·레저용품,2017,9,web,"124,327"
화장품,2017,9,web,"331,282"
아동·유아용품,2017,9,web,"75,971"
음·식료품,2017,9,web,"316,807"
농축수산물,2017,9,web,"122,538"
생활용품,2017,9,web,"265,245"
자동차 및 자동차용품,2017,9,web,"36,519"
가구,2017,9,web,"91,966"
애완용품,2017,9,web,"24,325"
여행 및 교통서비스,2017,9,web,"538,530"
문화 및 레저서비스,2017,9,web,"74,496"
e쿠폰서비스,2017,9,web,"17,375"
음식서비스,2017,9,web,"30,106"
기타서비스,2017,9,web,"92,102"
기타,2017,9,web,"104,940"
컴퓨터 및 주변기기,2017,10,mobile,"118,174"
가전·전자·통신기기,2017,10,mobile,"394,994"
서적,2017,10,mobile,"41,293"
사무·문구,2017,10,mobile,"18,898"
의복,2017,10,mobile,"595,469"
신발,2017,10,mobile,"92,565"
가방,2017,10,mobile,"112,662"
패션용품 및 액세서리,2017,10,mobile,"104,244"
스포츠·레저용품,2017,10,mobile,"148,099"
화장품,2017,10,mobile,"366,559"
아동·유아용품,2017,10,mobile,"189,740"
음·식료품,2017,10,mobile,"392,399"
농축수산물,2017,10,mobile,"107,471"
생활용품,2017,10,mobile,"374,151"
자동차 및 자동차용품,2017,10,mobile,"48,053"
가구,2017,10,mobile,"137,353"
애완용품,2017,10,mobile,"41,763"
여행 및 교통서비스,2017,10,mobile,"658,486"
문화 및 레저서비스,2017,10,mobile,"81,688"
e쿠폰서비스,2017,10,mobile,"79,602"
음식서비스,2017,10,mobile,"210,551"
기타서비스,2017,10,mobile,"25,456"
기타,2017,10,mobile,"75,041"
컴퓨터 및 주변기기,2017,10,web,"235,350"
가전·전자·통신기기,2017,10,web,"333,413"
서적,2017,10,web,"72,439"
사무·문구,2017,10,web,"37,422"
의복,2017,10,web,"439,236"
신발,2017,10,web,"47,801"
가방,2017,10,web,"44,345"
패션용품 및 액세서리,2017,10,web,"57,204"
스포츠·레저용품,2017,10,web,"126,699"
화장품,2017,10,web,"311,318"
아동·유아용품,2017,10,web,"70,801"
음·식료품,2017,10,web,"216,216"
농축수산물,2017,10,web,"67,310"
생활용품,2017,10,web,"227,897"
자동차 및 자동차용품,2017,10,web,"32,422"
가구,2017,10,web,"85,731"
애완용품,2017,10,web,"22,728"
여행 및 교통서비스,2017,10,web,"549,027"
문화 및 레저서비스,2017,10,web,"97,818"
e쿠폰서비스,2017,10,web,"16,436"
음식서비스,2017,10,web,"32,224"
기타서비스,2017,10,web,"27,007"
기타,2017,10,web,"96,251"
컴퓨터 및 주변기기,2017,11,mobile,"157,832"
가전·전자·통신기기,2017,11,mobile,"485,981"
서적,2017,11,mobile,"44,577"
사무·문구,2017,11,mobile,"23,812"
의복,2017,11,mobile,"857,482"
신발,2017,11,mobile,"114,073"
가방,2017,11,mobile,"120,428"
패션용품 및 액세서리,2017,11,mobile,"123,504"
스포츠·레저용품,2017,11,mobile,"171,843"
